0,Weider,Bilfoot,23,bilfooter@tumblr.com
1,Alfa Romeo F1 Team Stake,9,0
1,Scuderia Ferrari,122,16
0,Jillie,Gonnin,34,jgonnin9@eepurl.com
0,Felic,Wheal,26,fwheal0@wisc.edu
0,Florry,Cassius,27,fcassius4@smugmug.com
0,Laurent,Usmar,23,lusmar1@creativecommons.org
1,MoneyGram Haas F1 Team,8,0
1,Oracle Red Bull Racing,321,5
1,Aston Martin Aramco Cognizant F1 Team,154,0
0,Ivan,Orrom,31,iorromx@bigcartel.com
0,Cathi,Josephi,26,cjosephi2@patch.com
0,Irena,Bartolijn,32,ibartolijnb@google.ru
0,Francis,McDool,35,fmcdoolq@themeforest.net
0,Merilee,Burchess,24,mburchess8@newyorker.com
0,Gearalt,Fishwick,33,gfishwick7@studiopress.com
0,Nessi,Philipet,32,nphilipeta@wunderground.com
0,Wynona,Bilfoot,23,wbilfoote2@tumblr.com
1,Williams Racing,7,9
1,BWT Alpine F1 Team,44,2
0,Cassandra,Ceaplen,26,cceaplenh@nps.gov
0,Darill,Doree,27,ddoreeo@craigslist.org
0,Del,Callington,32,dcallingtonp@google.co.jp
1,Mercedes-AMG PETRONAS F1 Team,167,8
0,Min,Wicher,32,mwicherv@dyndns.org
0,Toby,Anstie,33,tanstie5@qq.com
0,Jill,Wiper,18,jwiperu@mayoclinic.com
0,Sharona,Crosfield,29,scrosfieldy@google.co.jp
0,Bettine,Whellams,30,bwhellamsn@canalblog.com
0,Christian,Trass,29,ctrasss@apple.com
0,Daisie,Lygoe,33,dlygoel@devhub.com
0,Margaretha,Tann,28,mtanng@smugmug.com
0,Marillin,Kivlehan,25,mkivlehani@chronoengine.com
0,Jennine,Cure,33,jcurew@4shared.com
0,Tuesday,Bailes,24,tbailes3@live.com
1,McLaren F1 Team,17,8
0,Nick,Johnsey,26,njohnsey6@answers.com
0,Danette,Boulton,32,dboultonc@clickbank.net
0,Tudor,Kollasch,28,tkollaschd@jigsy.com
0,Eyde,Haggith,33,ehaggithf@globo.com
0,Augustine,Hyder,23,ahyderj@rambler.ru
0,Blythe,McTeer,22,bmcteerr@tumblr.com
0,Wang,Gayter,29,wgaytert@meetup.com
0,Quillan,Steptow,35,qsteptowm@cafepress.com
1,Scuderia AlphaTauri,2,0
0,Clarie,Heisham,23,cheishamk@reuters.com
0,Weider,Bilfoot,24,wbilfoote@tumblr.com
